Dia Semana,Data,Atendimento,Demandante,Atuação,Modelo,Sem OS,Com OS,KM Terrestre,KM Aéreo,Preventiva,Corretiva,Instalacao,Treinamento,Viagem,Cidade,UF,Folga Trabalhada,Papelada,Plantao,Cod. IBGE UF,Cod. IBGE Cidade,Ano,Mes,MesNome
Quinta,28/04/2022,Casa Franco da Rocha treinamento + Corretiva FS Santos,Diego,Trabalhado,HT2000GA,1,0,280,0,0,1,0,1,0,Santos,SP,0,0,0,35,3548500,2022,4,Abril
Sexta,29/04/2022,Casa Franco da Rocha operação assistida,Diego,Trabalhado,HT2000GA,0,1,0,0,0,0,0,1,0,Franco da Rocha,SP,0,0,0,35,3516408,2022,4,Abril
Sábado,30/04/2022,Casa Franco da Rocha operação assistida,Diego,Trabalhado,HT2000GA,1,0,0,0,0,0,0,1,0,Franco da Rocha,SP,1,0,0,35,3516408,2022,4,Abril
Domingo,01/05/2022,Feriado Dia do Trabalho + Casa Franco da Rocha operação assistida,Diego,Trabalhado,HT2000GA,1,0,0,0,0,0,0,1,0,Franco da Rocha,SP,1,0,0,35,3516408,2022,5,Maio
Segunda,02/05/2022,Casa Franco da Rocha operação assistida + SAP Prev Mogi 2 HT,Diego,Trabalhado,HT2000GA,1,2,80,0,2,0,0,1,0,Mogi das Cruzes,SP,0,0,0,35,3530607,2022,5,Maio
Terça,03/05/2022,Casa Franco da Rocha operação assistida + Prev. SAP Potim 1 e 2 2HT,Diego,Trabalhado,HT2000GA,1,2,345,0,2,0,0,1,0,Potim,SP,0,0,0,35,3540754,2022,5,Maio
Quarta,04/05/2022,Prev. Banco Safra 01 6040 + Papelada escritório,Diego,Trabalhado,CX6040BI,1,1,70,0,1,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2022,5,Maio
Quinta,05/05/2022,Reunião Nuctech + Prev e corr SAP CDP S.J.C. 01 HT + remota Casa Franco Rocha,Diego,Trabalhado,HT2000GA,1,3,170,0,1,2,0,0,0,São José dos Campos,SP,0,0,0,35,3549904,2022,5,Maio
Sexta,06/05/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Sábado,07/05/2022,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,5,Maio
Domingo,08/05/2022,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,5,Maio
Segunda,09/05/2022,Prev. SAP CDP Suzano 2 HT,Diego,Trabalhado,HT2000GA,0,2,40,0,2,0,0,0,0,Suzano,SP,0,0,0,35,3552502,2022,5,Maio
Terça,10/05/2022,Agendamento Correios Jaguaré,Diego,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Quarta,11/05/2022,Ativação 100100D correios Jaguaré com Ruy,Diego,Trabalhado,CX100100D,0,1,100,0,0,0,1,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Quinta,12/05/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Sexta,13/05/2022,remota CDP Suzano 2 HT,Bruno,Trabalhado,HT2000GA,0,2,0,0,0,2,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Sábado,14/05/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Domingo,15/05/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Segunda,16/05/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Terça,17/05/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Quarta,18/05/2022,Reunião RH + ida apoio Walter em Itajaí GRU - NVT,Ranan,Trabalhado,FS6000,2,0,90,442,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2022,5,Maio
Quinta,19/05/2022,Corretiva Itajaí com Walter + vôo retorno NVT - GRU,Ranan,Trabalhado,FS6000,2,0,90,442,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2022,5,Maio
Sexta,20/05/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Sábado,21/05/2022,Plantão,Plantão,Trabalhado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,5,Maio
Domingo,22/05/2022,Plantão,Plantão,Trabalhado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,5,Maio
Segunda,23/05/2022,Vôo Ida GRU - CGB + preventiva Cárceres/MT,Paulinele,Trabalhado,CX6040BI,1,1,490,1329,1,0,0,0,1,Carceres,MT,0,0,0,51,,2022,5,Maio
Terça,24/05/2022,Retirada peça LATAM + Preventivas Várzea Grande 01 6040 + Comarca Cuiabá 04 6040 + TJ Cuiabá 03 6040 com 01 corretiva,Paulinele,Trabalhado,CX6040BI,1,9,30,0,8,1,0,0,1,Cuiabá,MT,0,0,0,51,5103403,2022,5,Maio
Quarta,25/05/2022,Preventivas Rondonópolis e Primavera do Leste,Paulinele,Trabalhado,CX6040BI,0,3,350,0,2,0,0,0,1,Primavera do Leste,MT,0,0,0,51,5107040,2022,5,Maio
Quinta,26/05/2022,Preventivas Barra do Garças 02 6040 com 01 corretiva + retorno Cuiabá,Paulinele,Trabalhado,CX6040BI,1,3,790,0,2,1,0,0,1,Barra dos Garças,MT,0,0,0,51,,2022,5,Maio
Sexta,27/05/2022,Despacho retorno peças + Retorno CGB - GRU,Paulinele,Trabalhado,,2,0,70,1329,0,0,0,0,1,Cuiabá,MT,0,0,0,51,5103403,2022,5,Maio
Sábado,28/05/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Domingo,29/05/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Segunda,30/05/2022,Papelada,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2022,5,Maio
Terça,31/05/2022,remota Romão Gomes,Bruno,Trabalhado,HT2100DV,0,1,0,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,5,Maio
Quarta,01/06/2022,Reunião Técnicos 08:30,Claudio,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Quinta,02/06/2022,Corretiva e preventiva P2 Tremembé 01 HT,Diego,Trabalhado,HT2000GA,0,2,260,0,1,1,0,0,0,Tremembé,SP,0,0,0,35,3554805,2022,6,Junho
Sexta,03/06/2022,Preventiva FS Alemoa com Ranan e Rogério,Ranan,Trabalhado,FS6000,1,0,180,0,1,0,0,0,0,Santos,SP,0,0,0,35,3548500,2022,6,Junho
Sábado,04/06/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Domingo,05/06/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Segunda,06/06/2022,Preventiva SAP CDP Mogi 02HT,Diego,Trabalhado,HT2000GA,0,2,80,0,2,0,0,0,0,Mogi das Cruzes,SP,0,0,0,35,3530607,2022,6,Junho
Terça,07/06/2022,Contatora Rogério + PC Fábrica Jin + Cópia SW CLP FS Alemoa,Ranan,Trabalhado,FS6000,2,1,180,0,0,1,0,0,0,Santos,SP,0,0,0,35,3548500,2022,6,Junho
Quarta,08/06/2022,FS Alemoa troca contatora (não autorizada) + Devolução Pc fábrica,Ranan,Trabalhado,FS6000,1,1,240,0,0,1,0,0,0,Santos,SP,0,0,0,35,3548500,2022,6,Junho
Quinta,09/06/2022,Preventiva SAP CDP SJC 01 HT + P1 e P2 Potim 02 HT + CDP Suzano 02 HT,Diego,Trabalhado,HT2000GA,0,5,0,0,5,0,0,0,0,Potim,SP,0,0,0,35,3540754,2022,6,Junho
Sexta,10/06/2022,FS Alemoa acompanhando backup servidor Chineses e troca da contatora da moduladora,Ranan,Trabalhado,FS6000,0,1,0,0,0,0,0,0,0,Santos,SP,0,0,0,35,3548500,2022,6,Junho
Sábado,11/06/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Domingo,12/06/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Segunda,13/06/2022,Folga Banco,0,Folga Banco,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Terça,14/06/2022,Folga Banco,0,Folga Banco,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Quarta,15/06/2022,Folga Banco,0,Folga Banco,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Quinta,16/06/2022,Feriado Corpus Christi,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Sexta,17/06/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Sábado,18/06/2022,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,6,Junho
Domingo,19/06/2022,Plantão + Corretiva Casa praia grande 2 01 HT,Diego,Trabalhado,HT2000GA,1,1,180,0,0,1,0,0,0,Praia Grande,SP,0,0,1,35,3541000,2022,6,Junho
Segunda,20/06/2022,Instalação 6040 azul cargo Viracopos,Diego,Trabalhado,CX6040D,0,1,270,0,0,0,1,0,0,Campinas,SP,0,0,0,35,3509502,2022,6,Junho
Terça,21/06/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Quarta,22/06/2022,Apoio Rogério Fábrica,Diego,Trabalhado,,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,6,Junho
Quinta,23/06/2022,Apoio Rogério Fábrica  + Multímetro para calibração,Diego,Trabalhado,,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,6,Junho
Sexta,24/06/2022,Apoio Rogério Fábrica  + papelada,Diego,Trabalhado,,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,6,Junho
Sábado,25/06/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Domingo,26/06/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,6,Junho
Segunda,27/06/2022,Copiar chaves fábrica para depen,Diego,Trabalhado,,1,0,150,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,6,Junho
Terça,28/06/2022,voo ida GRU - CGB + Instalação Cuiabá 2 CX6040BI com 2 corretivas,Diego,Trabalhado,CX6040BI,1,4,70,1329,0,2,2,0,1,Cuiabá,MT,0,0,0,51,5103403,2022,6,Junho
Quarta,29/06/2022,Instalação Cuiabá,Diego,Trabalhado,CX6040BI,1,0,30,0,0,0,0,1,1,Cuiabá,MT,0,0,0,51,5103403,2022,6,Junho
Quinta,30/06/2022,Voo volta CGB - GRU,Diego,Trabalhado,,1,0,70,1329,0,0,0,0,1,Cuiabá,MT,0,0,0,51,5103403,2022,6,Junho
Sexta,01/07/2022,Dosímetro Fábrica  + ajuda Hugo teste HT areia branca + Romão Gomes,Diego,Trabalhado,HT2100DV,2,1,160,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Sábado,02/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Domingo,03/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Segunda,04/07/2022,Papelada escritório,Diego,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2022,7,Julho
Terça,05/07/2022,SSP - Centro + medidor escritório + reunião Cláudio,Diego,Trabalhado,CX6040BI,2,1,70,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Quarta,06/07/2022,Reunião RH + treinamento TR1000QC fábrica (equip. não chegou) + Prev Suzano e Mogi 04 HT,Diego,Trabalhado,HT2000GA,2,4,170,0,4,0,0,0,0,Mogi das Cruzes,SP,0,0,0,35,3530607,2022,7,Julho
Quinta,07/07/2022,Prev SAP Potim e SJC 03 HT,Diego,Trabalhado,HT2000GA,0,3,345,0,3,0,0,0,0,Potim,SP,0,0,0,35,3540754,2022,7,Julho
Sexta,08/07/2022,Treinamento TR1000 fábrica (TR não chegou)  + Devolução Notebook  (Mauro TI) + retirada Pc  Estância/SE + papelada + Dosímetro e relé Rogério,Diego,Trabalhado,,6,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,7,Julho
Sábado,09/07/2022,Revolução Constitucionalista,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Domingo,10/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Segunda,11/07/2022,voo ida GRU - AJU + Desinstalação Areia Branca/SE (retirar peças para Estância),Diego,Trabalhado,HT2000GA,1,1,90,1742,0,0,1,0,1,Areia Branca,SE,0,0,0,28,2800506,2022,7,Julho
Terça,12/07/2022,Instalação Areia Branca/SE,Diego,Trabalhado,HT2000GA,0,1,20,0,0,0,1,0,1,Areia Branca,SE,0,0,0,28,2800506,2022,7,Julho
Quarta,13/07/2022,Instalação Areia Branca/SE,Diego,Trabalhado,HT2000GA,1,0,20,0,0,0,0,1,1,Areia Branca,SE,0,0,0,28,2800506,2022,7,Julho
Quinta,14/07/2022,Instalação Areia Branca/SE + preventiva areia branca + levantamento radiométrico areia branca + corretiva estância + levantamento radiométrico estância,Diego,Trabalhado,HT2000GA,4,1,160,0,1,0,0,0,1,Estância,SE,0,0,0,28,2802106,2022,7,Julho
Sexta,15/07/2022,Preventiva fórum são Cristóvão + levantamento radiométrico Forum São Cristóvão + vôo volta AJU - GRU,Diego,Trabalhado,CX5030T,2,1,100,1742,1,0,0,0,1,São Cristovão,SE,0,0,0,28,2806701,2022,7,Julho
Sábado,16/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Domingo,17/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Segunda,18/07/2022,Devolução Medidor  Escritório + papelada + devolução Pc fábrica,PCM,Trabalhado,,3,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,1,0,35,3510609,2022,7,Julho
Terça,19/07/2022,Preventiva Cidade I e II 02 cx5030 ( reagendado a pedido do cliente ),Diego,Trabalhado,,1,0,60,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Quarta,20/07/2022,Preventiva Cidade I e II 02 cx5030,Diego,Trabalhado,CX5030T,0,2,60,0,2,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Quinta,21/07/2022,Ministério da Fazenda 02 CX6040 + agendamento TR2000 GRU,Paulinele,Trabalhado,CX6040BI,1,2,60,0,2,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Sexta,22/07/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Sábado,23/07/2022,Plantão,Plantão,Trabalhado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,7,Julho
Domingo,24/07/2022,Plantão + Corretiva CPP Tremembé,Plantão,Trabalhado,HT2000GA,0,1,260,0,0,1,0,0,0,Tremembé,SP,0,0,1,35,3554805,2022,7,Julho
Segunda,25/07/2022,TR2000 GRU as 10:00,Diego,Trabalhado,TR2000DC,1,0,100,0,0,0,0,0,0,Guarulhos,SP,0,0,0,35,3518800,2022,7,Julho
Terça,26/07/2022,TR2000 GRU as 08:00 + papelada escritório,Diego,Trabalhado,TR2000DC,1,2,150,0,0,2,0,0,0,Guarulhos,SP,0,1,0,35,3518800,2022,7,Julho
Quarta,27/07/2022,E.P.I. na fábrica,PCM,Trabalhado,,1,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2022,7,Julho
Quinta,28/07/2022,Agendamento reciclagem Piracicaba,Ranan,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Sexta,29/07/2022,Treinamento Piracicaba 09:30,Ranan,Trabalhado,HT2000GA,0,1,370,0,0,0,0,1,0,Piracicaba,SP,0,0,0,35,3538709,2022,7,Julho
Sábado,30/07/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,7,Julho
Domingo,31/07/2022,Vôo ida GRU - NAT,Diego,Trabalhado,,1,0,70,2350,0,0,0,0,1,Mossoró,RN,0,0,0,24,2408003,2022,7,Julho
Segunda,01/08/2022,Instalação Pen. Federal de Mossoró / RN as 09:00 empilhadeira,Diego,Trabalhado,CX100100D,0,1,280,0,0,0,1,0,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Terça,02/08/2022,Treinamento Pen. Federal de Mossoró / RN,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Quarta,03/08/2022,Treinamento Pen. Federal de Mossoró / RN,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Quinta,04/08/2022,Treinamento Pen. Federal de Mossoró / RN + bate volta Natal Pc novo,Diego,Trabalhado,CX100100D,2,0,560,0,0,0,0,1,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Sexta,05/08/2022,Treinamento Pen. Federal de Mossoró / RN + substituição esteiras,Diego,Trabalhado,CX100100D,2,0,30,0,0,0,0,1,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Sábado,06/08/2022,vôo retorno Nat - GRU,Diego,Trabalhado,,1,0,330,2350,0,0,0,0,1,Mossoró,RN,0,0,0,24,2408003,2022,8,Agosto
Domingo,07/08/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Segunda,08/08/2022,PC Fábrica + papelada + despacho CGH + reunião às 15:00,Claudio,Trabalhado,,4,0,170,0,0,0,0,0,0,Carapicuíba,SP,0,1,0,35,3510609,2022,8,Agosto
Terça,09/08/2022,13:00 as 17:00 treinamento AENA ead,PCM,Trabalhado,,1,0,0,0,0,0,0,1,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quarta,10/08/2022,08:00 as 17:00 treinamento AENA ead,PCM,Trabalhado,,1,0,0,0,0,0,0,1,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quinta,11/08/2022,Romão Gomes  as 10:00 com Neudson (radioproteção ),Paulinele,Trabalhado,HT2100DV,1,1,90,0,1,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Sexta,12/08/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Sábado,13/08/2022,Plantão  + Remota Casa Pirituba,Plantão,Trabalhado,HT2000GA,1,1,0,0,0,1,0,0,0,São Paulo,SP,0,1,1,35,3550308,2022,8,Agosto
Domingo,14/08/2022,Plantão + Conjunta Jean Casa Pirituba,Plantão,Trabalhado,HT2000GA,1,1,80,0,0,1,0,0,0,São Paulo,SP,0,1,1,35,3550308,2022,8,Agosto
Segunda,15/08/2022,Prev. Mogi 02HT + Prev. Potim 02HT + Doc RH,Diego,Trabalhado,HT2000GA,1,4,345,0,4,0,0,0,0,Potim,SP,0,0,0,35,3540754,2022,8,Agosto
Terça,16/08/2022,Preventiva SJC 01 HT + prev. Suzano 02HT,Diego,Trabalhado,HT2000GA,0,3,180,0,3,0,0,0,0,São José dos Campos,SP,0,0,0,35,3549904,2022,8,Agosto
Quarta,17/08/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quinta,18/08/2022,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Sexta,19/08/2022,Papelada,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2022,8,Agosto
Sábado,20/08/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Domingo,21/08/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Segunda,22/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Terça,23/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quarta,24/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quinta,25/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Sexta,26/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Sábado,27/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Domingo,28/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Segunda,29/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Terça,30/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quarta,31/08/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,8,Agosto
Quinta,01/09/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Sexta,02/09/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Sábado,03/09/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Domingo,04/09/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Segunda,05/09/2022,Férias,0,Férias,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Terça,06/09/2022,Cursos AENA,Diego,Trabalhado,,7,0,0,0,0,0,0,1,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Quarta,07/09/2022,Independência,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Quinta,08/09/2022,CDP Suzano 02 HT 02 Prev. 02 Corr.,Diego,Trabalhado,HT2000GA,0,4,40,0,2,2,0,0,0,Suzano,SP,0,0,0,35,3552502,2022,9,Setembro
Sexta,09/09/2022,CDP Suzano troca de teclados 02 HT,Diego,Trabalhado,HT2000GA,0,2,40,0,0,2,0,0,0,Suzano,SP,0,0,0,35,3552502,2022,9,Setembro
Sábado,10/09/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Domingo,11/09/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Segunda,12/09/2022,SAP Potim P1 e P2 - 02 HT prev. e corre. + Confirmação treinamento CDP SJC,Diego,Trabalhado,HT2000GA,1,4,345,0,2,2,0,0,0,Potim,SP,0,0,0,35,3540754,2022,9,Setembro
Terça,13/09/2022,treinamento  e prev. 01 HT CDP SJC as 09:00 + CDP Mogi 02 HT Prev.,Diego,Trabalhado,HT2000GA,1,3,170,0,3,0,0,1,0,São José dos Campos,SP,0,0,0,35,3549904,2022,9,Setembro
Quarta,14/09/2022,Reunião 08:30,Diego,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Quinta,15/09/2022,Papelada,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2022,9,Setembro
Sexta,16/09/2022,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Sábado,17/09/2022,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,9,Setembro
Domingo,18/09/2022,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2022,9,Setembro
Segunda,19/09/2022,Prev Casa ouro preto 01 HT + Prev casa Nova vida 01 HT,Diego,Trabalhado,HT2000GA,0,2,50,0,2,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Terça,20/09/2022,Remota Casa Rio Piracicaba,Diego,Trabalhado,HT2000GA,0,1,0,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Quarta,21/09/2022,Kylin Gru credencial,Diego,Trabalhado,,1,0,100,0,0,0,0,0,0,Guarulhos,SP,0,0,0,35,3518800,2022,9,Setembro
Quinta,22/09/2022,Corretiva P1 Franco da rocha,Diego,Trabalhado,HT2000GA,0,1,140,0,0,1,0,0,0,Franco da Rocha,SP,0,0,0,35,3516408,2022,9,Setembro
Sexta,23/09/2022,Fábrica + troca leitor P1 franco da Rocha,Diego,Trabalhado,HT2000GA,2,0,160,0,0,1,0,0,0,Franco da Rocha,SP,0,0,0,35,3516408,2022,9,Setembro
Sábado,24/09/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Domingo,25/09/2022,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Segunda,26/09/2022,Alinhamento visita GRU com Paulinele,Diego,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2022,9,Setembro
Terça,27/09/2022,Gru Paulinele 09:00,Diego,Trabalhado,,1,0,100,0,0,0,0,0,0,Guarulhos,SP,0,0,0,35,3518800,2022,9,Setembro
